                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0183,                0.97575,                  1.038,                0.91926,                0.91852,                0.96416,                0.70747,                0.91043,                0.93657,                 1.0506,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.0053,                  1.003,                  1.016,                0.91926,                0.91852,                0.96416,                0.70747,                0.91043,                0.93657,                 1.0506,              0.0006536,              0.0006536,              0.0006536
                     37,                0.98053,                 0.9814,                 1.0536,                0.91926,                0.91852,                0.96416,                0.70747,                0.91043,                0.93657,                 1.0506,               0.000614,               0.000614,               0.000614
                     38,                 1.0022,                0.98938,                 1.0718,                0.91926,                0.91852,                0.96416,                0.70747,                0.91043,                0.93657,                 1.0506,              0.0005744,              0.0005744,              0.0005744
                     39,                0.92487,                0.94695,                 1.0209,                0.91926,                0.91852,                0.96416,                0.70747,                0.91043,                0.93657,                 1.0506,              0.0005348,              0.0005348,              0.0005348
                     40,                0.94486,                 1.0574,                 1.0851,                0.91926,                0.91852,                0.96416,                0.70747,                0.91043,                0.93657,                 1.0506,              0.0004952,              0.0004952,              0.0004952
                     41,                0.94607,                   1.31,                   1.03,                0.91926,                0.91852,                0.96416,                0.70747,                0.91043,                0.93657,                 1.0506,              0.0004556,              0.0004556,              0.0004556
                     42,                0.93569,                 1.1333,                 1.0173,                0.93933,                0.91745,                0.96597,                0.70942,                0.91726,                0.91812,                 1.0662,               0.000416,               0.000416,               0.000416
                     43,                 1.0906,                 1.2449,                 1.1577,                0.93933,                0.91745,                0.96597,                0.70942,                0.91726,                0.91812,                 1.0662,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.0144,                 1.1731,                 1.0979,                0.93933,                0.91745,                0.96597,                0.70942,                0.91726,                0.91812,                 1.0662,              0.0003368,              0.0003368,              0.0003368
                     45,                0.92381,                 1.0475,                 1.0145,                0.93933,                0.91745,                0.96597,                0.70942,                0.91726,                0.91812,                 1.0662,              0.0002972,              0.0002972,              0.0002972
                     46,                0.94031,                 1.0906,                 1.0746,                0.93933,                0.91745,                0.96597,                0.70942,                0.91726,                0.91812,                 1.0662,              0.0002576,              0.0002576,              0.0002576
                     47,                0.92048,                 1.0569,                 1.0485,                0.93933,                0.91745,                0.96597,                0.70942,                0.91726,                0.91812,                 1.0662,               0.000218,               0.000218,               0.000218
                     48,                0.93298,                 1.0348,                 1.0284,                0.95173,                0.92593,                0.96914,                0.72986,                0.88406,                0.93218,                 1.0496,              0.0001784,              0.0001784,              0.0001784
                     49,                0.90537,                  1.039,                 1.1077,                0.95173,                0.92593,                0.96914,                0.72986,                0.88406,                0.93218,                 1.0496,              0.0001388,              0.0001388,              0.0001388
                     50,                0.90674,                 1.1229,                0.99096,                0.95173,                0.92593,                0.96914,                0.72986,                0.88406,                0.93218,                 1.0496,               9.92e-05,               9.92e-05,               9.92e-05
