                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1183,                 6.0763,                 2.1432,                0.00235,                0.76471,                0.00637,                0.00198,                 2.5313,                 5.3409,                 1.6087,             0.00065641,             0.00065641,             0.00065641
                      2,                 2.4661,                 4.6843,                 1.6937,                0.49487,                0.04947,                0.11051,                0.04068,                 2.2224,                 4.3727,                 1.6958,              0.0012794,              0.0012794,              0.0012794
                      3,                 2.2282,                  3.748,                 1.6177,                0.41065,                 0.2521,                0.26618,                0.12295,                 1.9555,                 4.1874,                 1.5534,              0.0018584,              0.0018584,              0.0018584
                      4,                  2.284,                 4.1793,                  1.803,                0.61317,                0.53284,                0.56332,                0.22283,                 2.1765,                 3.6568,                 1.7837,               0.001802,               0.001802,               0.001802
                      5,                 2.2425,                 3.4996,                 1.7393,                0.46837,                0.54622,                0.48476,                0.18752,                  1.955,                 3.6589,                 1.5361,               0.001802,               0.001802,               0.001802
                      6,                  2.473,                  4.109,                 1.6668,                0.30805,                0.51261,                0.33666,                0.12432,                 2.1146,                 7.9416,                 1.3798,               0.001736,               0.001736,               0.001736
                      7,                 2.1444,                 3.0846,                  1.442,                0.60748,                0.57143,                0.57378,                0.22433,                 1.8776,                  4.229,                 1.3869,                0.00167,                0.00167,                0.00167
                      8,                 2.1152,                 3.0493,                 1.4833,                0.73724,                0.55462,                 0.6624,                0.30523,                 1.8522,                 2.5013,                 1.3227,               0.001604,               0.001604,               0.001604
                      9,                 1.9528,                 2.7756,                 1.3695,                   0.65,                0.69748,                0.76246,                0.34319,                 1.7718,                 3.9067,                 1.3019,               0.001538,               0.001538,               0.001538
                     10,                 1.9286,                 2.6549,                 1.3855,                0.73792,                0.75715,                0.81998,                0.37194,                 1.6507,                 2.7267,                 1.2626,               0.001472,               0.001472,               0.001472
                     11,                 1.8425,                 2.4813,                 1.3502,                0.73174,                 0.7106,                0.78481,                0.43963,                 1.5107,                 2.3486,                 1.1326,               0.001406,               0.001406,               0.001406
                     12,                 1.7872,                 2.0738,                  1.335,                0.86815,                0.78151,                0.89947,                0.41675,                 1.6221,                 2.0828,                 1.1979,                0.00134,                0.00134,                0.00134
                     13,                  1.855,                 2.0192,                 1.3576,                0.88426,                0.83193,                0.90117,                0.48522,                 1.5385,                 1.8559,                 1.1665,               0.001274,               0.001274,               0.001274
                     14,                 1.6825,                 2.1753,                 1.2395,                0.76961,                0.86555,                0.89175,                0.47641,                 1.4406,                 1.7481,                 1.1201,               0.001208,               0.001208,               0.001208
                     15,                 1.7522,                 1.9663,                  1.298,                0.90546,                0.84034,                  0.941,                0.53354,                 1.3795,                 1.6031,                 1.1043,               0.001142,               0.001142,               0.001142
                     16,                 1.6162,                 1.7293,                 1.2394,                0.95337,                0.89076,                0.96995,                0.56456,                 1.3898,                 1.4642,                 1.1234,               0.001076,               0.001076,               0.001076
                     17,                  1.639,                 1.7478,                 1.2276,                0.99062,                0.88784,                0.97985,                0.56253,                 1.4003,                 1.4081,                 1.1222,                0.00101,                0.00101,                0.00101
                     18,                 1.6169,                 1.6176,                 1.2273,                0.96759,                0.90756,                0.97997,                0.56516,                  1.328,                 1.3947,                  1.081,               0.000944,               0.000944,               0.000944
                     19,                  1.436,                 1.6645,                 1.1377,                0.98292,                0.96745,                0.99158,                 0.5935,                 1.2623,                 1.3686,                 1.0554,               0.000878,               0.000878,               0.000878
                     20,                 1.4851,                  1.447,                 1.1572,                  0.986,                0.98319,                0.99371,                0.58252,                 1.2817,                 1.3032,                 1.0657,               0.000812,               0.000812,               0.000812
                     21,                 1.4057,                 1.6064,                 1.1247,                0.98223,                0.92884,                0.98218,                0.58236,                 1.2773,                 1.3138,                 1.0301,               0.000746,               0.000746,               0.000746
                     22,                  1.513,                 1.6752,                 1.1808,                0.94826,                0.92413,                0.98435,                0.61248,                  1.261,                 1.3252,                 1.0277,                0.00068,                0.00068,                0.00068
                     23,                 1.3861,                 1.4475,                 1.1023,                0.97089,                0.94118,                0.99138,                0.62212,                 1.1978,                 1.2571,                 1.0205,               0.000614,               0.000614,               0.000614
                     24,                 1.3639,                 1.4091,                 1.0966,                0.99075,                 0.9916,                  0.995,                0.59982,                  1.216,                 1.2127,                 1.0291,               0.000548,               0.000548,               0.000548
                     25,                 1.4146,                 1.4495,                 1.1426,                 0.9924,                0.98319,                0.99492,                0.62594,                 1.1916,                 1.1802,                 1.0079,               0.000482,               0.000482,               0.000482
                     26,                  1.471,                 1.3971,                  1.142,                 0.9956,                 0.9916,                  0.995,                0.62786,                 1.1986,                 1.2034,                 1.0095,               0.000416,               0.000416,               0.000416
                     27,                 1.3722,                 1.5721,                 1.0782,                 0.9987,                0.97479,                0.99467,                0.64028,                 1.1872,                 1.1498,                 1.0095,                0.00035,                0.00035,                0.00035
                     28,                 1.3447,                  1.363,                 1.1062,                0.98312,                0.97891,                0.99424,                0.65492,                 1.1481,                    1.1,                0.99846,               0.000284,               0.000284,               0.000284
                     29,                 1.3166,                 1.3626,                 1.1004,                0.98703,                 0.9916,                0.99458,                0.64831,                 1.1303,                 1.0746,                0.99806,               0.000218,               0.000218,               0.000218
                     30,                 1.3245,                 1.3013,                 1.0855,                0.98818,                 0.9916,                0.99458,                0.64892,                 1.1087,                 1.0538,                0.99072,               0.000152,               0.000152,               0.000152
